1561 frames | 65 secs | A.Beautiful.Mind.2001__#00-01-45_00-02-50_label_A
1561 frames | 65 secs | A.Beautiful.Mind.2001__#00-03-00_00-04-05_label_A
1801 frames | 75 secs | A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A
3601 frames | 150 secs | A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A
2762 frames | 115 secs | A.Beautiful.Mind.2001__#00-08-55_00-10-50_label_A
1225 frames | 51 secs | A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A
3625 frames | 151 secs | A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A
985 frames | 41 secs | A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A
1441 frames | 60 secs | A.Beautiful.Mind.2001__#00-31-05_00-32-05_label_A
6673 frames | 278 secs | A.Beautiful.Mind.2001__#00-32-07_00-36-45_label_A
4104 frames | 171 secs | A.Beautiful.Mind.2001__#00-37-40_00-40-31_label_A
3817 frames | 159 secs | A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A
2641 frames | 110 secs | A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A
1369 frames | 57 secs | A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A
6049 frames | 252 secs | A.Beautiful.Mind.2001__#00-58-18_01-02-30_label_A
6192 frames | 258 secs | A.Beautiful.Mind.2001__#01-21-22_01-25-40_label_A
2642 frames | 110 secs | A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A
2137 frames | 89 secs | A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A
2761 frames | 115 secs | A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A
5449 frames | 227 secs | A.Beautiful.Mind.2001__#01-42-06_01-45-53_label_A
2642 frames | 110 secs | A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A
1681 frames | 70 secs | A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A
8161 frames | 340 secs | A.Beautiful.Mind.2001__#01-52-20_01-58-00_label_A
9601 frames | 400 secs | A.Beautiful.Mind.2001__#01-58-20_02-05-00_label_A
721 frames | 30 secs | About.Time.2013__#00-01-45_00-02-15_label_A
1801 frames | 75 secs | About.Time.2013__#00-04-20_00-05-35_label_A
3601 frames | 150 secs | About.Time.2013__#00-05-52_00-08-22_label_A
2762 frames | 115 secs | About.Time.2013__#00-08-55_00-10-50_label_A
5954 frames | 248 secs | About.Time.2013__#00-11-00_00-15-08_label_A
1657 frames | 69 secs | About.Time.2013__#00-16-18_00-17-27_label_A
2401 frames | 100 secs | About.Time.2013__#00-17-30_00-19-10_label_A
3625 frames | 151 secs | About.Time.2013__#00-20-35_00-23-06_label_A
6241 frames | 260 secs | About.Time.2013__#00-25-20_00-29-40_label_A
6697 frames | 279 secs | About.Time.2013__#00-33-52_00-38-31_label_A
